id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 29_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,league,season
2f965a72,57,Alphonse Areola,FRA,GK,West Ham,30,1993,1,90,90,10.0,1.0,1,90,1,0,,7,0.0,1,2,-1,-1.0,-2.0,1.0,0.9,0.1,0.08,-0.29,Matches,UEL,23-24
841beda7,58,Zoran Arsenić,CRO,DF,RKS Raków,29,1994,1,13,13,2.4,0.1,1,13,0,0,,1,1.0,0,0,0,0.0,1.2,0.0,0.0,0.0,0.0,0.8,Matches,UEL,23-24
8a958856,59,Arthur,BRA,DF,Leverkusen,20,2003,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches,UEL,23-24
fceadb9b,60,Alejandro Artunduaga,COL,DF,Sheriff Tiraspol,25,1997,6,496,83,91.9,5.5,6,83,3,0,,0,0.9,5,15,-10,-1.81,2.28,2.8,10.9,-8.0,-1.46,1.65,Matches,UEL,23-24
b026bbf6,61,Lorenz Assignon,TOG,DF,Rennes,23,2000,5,361,72,50.1,4.0,4,90,4,1,1,1,2.4,10,4,6,1.5,1.75,5.4,5.0,0.5,0.11,-0.29,Matches,UEL,23-24
55b93ae0,62,Giorgos Athanasiadis,GRE,GK,AEK Athens,30,1993,3,212,71,39.3,2.4,2,90,2,1,32,3,0.0,1,7,-6,-2.55,-2.55,2.8,7.0,-4.3,-1.82,-1.59,Matches,UEL,23-24
dbd1b101,63,Noah Atubolu,GER,GK,Freiburg,21,2002,10,930,93,100.0,10.3,10,93,10,0,,0,1.9,21,14,7,0.68,,17.3,11.5,5.7,0.57,0.57,Matches,UEL,23-24
d5dd5f1f,64,Pierre-Emerick Aubameyang,GAB,FW,Marseille,34,1989,13,1026,79,79.5,11.4,11,88,5,2,31,0,1.46,22,18,4,0.35,0.01,17.9,14.5,3.4,0.31,0.29,Matches,UEL,23-24
f0677ed7,65,Fredrik Aursnes,NOR,DF,Benfica,27,1995,6,503,84,88.2,5.6,5,96,5,1,23,0,1.83,7,5,2,0.36,0.36,9.8,5.0,4.8,0.92,1.42,Matches,UEL,23-24
f648b2e1,66,Gastón Ávila,ARG,DF,Ajax,21,2001,2,91,46,16.9,1.0,1,90,1,1,1,4,1.0,1,1,0,0.0,0.6,1.9,2.5,-0.6,-0.6,-0.48,Matches,UEL,23-24
b7bf9318,67,Nəriman Axundzadə,AZE,FW,Qarabağ,19,2004,7,67,10,7.2,0.7,0,,0,7,10,3,1.63,1,6,-5,-6.72,-7.03,0.5,4.2,-3.7,-6.47,-6.17,Matches,UEL,23-24
2200181e,68,Kaan Ayhan,TUR,DF,Galatasaray,28,1994,2,123,62,68.3,1.4,2,62,0,0,,0,1.5,2,2,0,0.0,3.16,1.8,2.4,-0.6,-0.41,1.61,Matches,UEL,23-24
17e1261b,69,Neil El Aynaoui,FRA,MF,Lens,22,2001,2,210,105,100.0,2.3,2,105,2,0,,0,0.5,2,3,-1,-0.43,,1.4,4.8,-3.4,-1.7,-1.7,Matches,UEL,23-24
dd95af65,70,Irakli Azarov,GEO,DF,Shakhtar,21,2002,2,173,87,96.1,1.9,2,87,1,0,,0,0.5,3,5,-2,-1.04,-1.04,2.5,2.8,-0.3,-0.15,-0.25,Matches,UEL,23-24
10549b49,71,Sardar Azmoun,IRN,FW,Roma,28,1995,4,175,44,13.6,1.9,2,80,0,2,8,3,1.0,2,1,1,0.51,-0.29,3.4,3.3,0.1,0.07,-0.19,Matches,UEL,23-24
f582d5c1,72,Sanoussy Ba,GER,"DF,MF",LASK,19,2004,2,5,3,0.9,0.1,0,,0,2,3,4,1.0,0,0,0,0.0,1.01,0.0,0.5,-0.5,-8.33,-7.72,Matches,UEL,23-24
c6f0d5d4,73,Shavy Babicka,GAB,"FW,MF",Toulouse,23,2000,2,32,16,4.4,0.4,0,,0,2,16,0,0.5,1,1,0,0.0,0.26,0.4,1.2,-0.8,-2.28,-1.58,Matches,UEL,23-24
c6f0d5d4,74,Shavy Babicka,GAB,FW,Aris Limassol FC,23,2000,5,347,69,64.3,3.9,4,80,1,1,26,1,1.0,4,7,-3,-0.78,0.62,3.7,6.0,-2.3,-0.6,-0.14,Matches,UEL,23-24
d7abc42e,75,Cédric Badolo,BFA,MF,Sheriff Tiraspol,24,1998,5,400,80,74.1,4.4,4,89,3,1,45,0,1.0,4,11,-7,-1.58,1.64,2.2,10.9,-8.7,-1.97,-1.44,Matches,UEL,23-24
518f2234,76,Alex Baena,ESP,"FW,MF",Villarreal,22,2001,8,412,52,57.2,4.6,5,70,2,3,21,0,2.0,10,8,2,0.44,1.02,5.9,6.2,-0.2,-0.06,0.25,Matches,UEL,23-24
78f21137,77,Alexander Bah,DEN,DF,Benfica,25,1997,6,505,84,88.6,5.6,5,95,4,1,32,0,1.83,7,5,2,0.36,0.36,9.6,6.7,2.9,0.55,-0.78,Matches,UEL,23-24
a1232f4e,78,Eric Bailly,CIV,DF,Villarreal,29,1994,2,140,70,19.4,1.6,2,70,1,0,,0,1.5,1,4,-3,-1.93,-2.39,1.2,3.5,-2.3,-1.47,-1.6,Matches,UEL,23-24
32e8417f,79,Stefan Bajcetic,ESP,DF,Liverpool,18,2004,1,60,60,6.7,0.7,1,60,0,0,,1,3.0,1,1,0,0.0,-1.82,1.3,0.2,1.0,1.57,0.42,Matches,UEL,23-24
3eff5888,80,Adrian Bajrami,ALB,DF,Benfica,21,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,UEL,23-24
63b56730,81,Johan Bakke,NOR,MF,Molde,19,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,UEL,23-24
a8567629,82,Mitchel Bakker,NED,DF,Atalanta,23,2000,5,152,30,13.0,1.7,2,67,0,3,6,6,2.2,1,2,-1,-0.59,-2.18,3.0,1.6,1.4,0.82,0.33,Matches,UEL,23-24
102e2599,83,Tommaso Baldanzi,ITA,"FW,MF",Roma,20,2003,5,136,27,10.5,1.5,1,82,0,4,14,3,1.0,0,1,-1,-0.66,-1.6,1.4,1.8,-0.4,-0.34,-0.63,Matches,UEL,23-24
a1390d2f,84,Carlos Baleba,CMR,MF,Brighton,19,2004,6,61,10,8.5,0.7,0,,0,6,10,2,2.5,0,0,0,0.0,-0.27,0.4,0.6,-0.2,-0.28,-0.79,Matches,UEL,23-24
7c3ed041,85,Leonardo Balerdi,ARG,DF,Marseille,24,1999,12,1029,86,79.8,11.4,11,93,10,1,11,1,1.33,17,15,2,0.17,-0.86,16.6,14.6,2.0,0.18,-0.27,Matches,UEL,23-24
aa04bee3,86,Husein Balic,AUT,FW,LASK,27,1996,1,8,8,1.5,0.1,0,,0,1,8,5,3.0,0,0,0,0.0,1.02,0.2,0.1,0.1,1.13,1.84,Matches,UEL,23-24
f7b10c66,87,David von Ballmoos,SUI,GK,Young Boys,28,1994,2,180,90,100.0,2.0,2,90,2,0,,0,0.5,2,4,-2,-1.0,,1.4,5.2,-3.7,-1.87,,Matches,UEL,23-24
69e930e4,88,Mamady Bangré,BFA,MF,Toulouse,22,2001,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches,UEL,23-24
2909db07,89,Sebastian Banozic,SWE,GK,Häcken,20,2003,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches,UEL,23-24
be47b750,90,Simon Banza,COD,FW,Braga,26,1996,2,210,105,100.0,2.3,2,105,2,0,,0,1.5,5,6,-1,-0.43,,4.2,3.5,0.8,0.38,0.38,Matches,UEL,23-24
5d9cff53,91,Abdülkerim Bardakcı,TUR,DF,Galatasaray,28,1994,2,126,63,70.0,1.4,1,90,1,1,36,0,1.5,3,5,-2,-1.43,-1.43,1.5,2.9,-1.4,-1.0,-0.27,Matches,UEL,23-24
712dd708,92,Borna Barišić,CRO,DF,Rangers,30,1992,5,450,90,62.5,5.0,5,90,5,0,,2,2.0,8,6,2,0.4,0.73,7.1,6.4,0.7,0.14,1.21,Matches,UEL,23-24
93c8e934,93,Anthony Baron,GLP,"DF,MF",Servette FC,30,1992,3,127,42,23.5,1.4,1,89,0,2,19,1,1.33,3,1,2,1.42,3.81,2.1,1.6,0.5,0.33,1.13,Matches,UEL,23-24
7e0b6c50,94,Davide Bartesaghi,ITA,DF,Milan,17,2005,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches,UEL,23-24
b742cc0d,95,Marc Bartra,ESP,DF,Betis,32,1991,1,90,90,16.7,1.0,1,90,1,0,,0,0.0,0,1,-1,-1.0,-1.6,0.8,2.0,-1.2,-1.16,-1.87,Matches,UEL,23-24
7f3f5aa6,96,Afonso Bastardo,POR,FW,Sporting CP,18,2005,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,UEL,23-24
