id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,league,season
9deaf2c8,110,Keinan Davis,ENG,FW,Aston Villa,23,1998,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,ENG-EPL,21-22
3e9e06cb,111,Craig Dawson,ENG,DF,West Ham,31,1990,30.6,29,17,20,8,1,14,25,56.0,11,59,52,7,29,58,139,0,Matches,ENG-EPL,21-22
e46012d4,112,Kevin De Bruyne,BEL,MF,Manchester City,30,1991,24.5,32,16,4,15,13,12,37,32.4,25,32,2,30,6,38,16,0,Matches,ENG-EPL,21-22
82e34b69,113,Troy Deeney,ENG,FW,Watford,33,1988,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0,Matches,ENG-EPL,21-22
dd897ee7,114,Liam Delap,ENG,FW,Manchester City,18,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,ENG-EPL,21-22
111c3236,115,Fabian Delph,ENG,MF,Everton,31,1989,7.4,18,15,10,7,1,8,21,38.1,13,12,5,7,14,32,10,0,Matches,ENG-EPL,21-22
5a7301ae,116,Leander Dendoncker,BEL,MF,Wolves,26,1995,21.7,42,17,25,14,3,22,50,44.0,28,37,10,27,9,51,38,1,Matches,ENG-EPL,21-22
2c44a35d,117,Emmanuel Dennis,NGA,"FW,MF",Watford,23,1997,28.7,51,35,20,22,9,17,52,32.7,35,36,2,34,15,66,13,0,Matches,ENG-EPL,21-22
5c74c0f5,118,Kiernan Dewsbury-Hall,ENG,MF,Leicester City,22,1998,23.4,39,24,20,14,5,19,40,47.5,21,37,8,29,21,60,26,1,Matches,ENG-EPL,21-22
11ff3d56,119,Ibrahima Diallo,FRA,MF,Southampton,22,1999,11.4,22,11,10,9,3,10,24,41.7,14,7,0,7,9,31,10,0,Matches,ENG-EPL,21-22
31c69ef1,120,Rúben Dias,POR,DF,Manchester City,24,1997,26.7,26,19,11,12,3,8,15,53.3,7,19,13,6,23,49,66,0,Matches,ENG-EPL,21-22
4a1a9578,121,Luis Díaz,COL,FW,Liverpool,24,1997,10.6,9,7,3,5,1,2,8,25.0,6,7,0,7,4,13,2,0,Matches,ENG-EPL,21-22
ac861941,122,Eric Dier,ENG,DF,Tottenham,27,1994,34.1,15,9,6,8,1,7,14,50.0,7,37,32,5,27,42,142,1,Matches,ENG-EPL,21-22
1b84dbe1,123,Lucas Digne,FRA,DF,Aston Villa,28,1993,14.1,13,10,8,3,2,9,19,47.4,10,15,8,7,23,36,40,0,Matches,ENG-EPL,21-22
1b84dbe1,124,Lucas Digne,FRA,DF,Everton,28,1993,13.0,33,19,26,4,3,21,28,75.0,7,16,5,11,14,47,30,0,Matches,ENG-EPL,21-22
a712ca2b,125,Issa Diop,FRA,DF,West Ham,24,1997,10.7,10,8,5,5,0,4,11,36.4,7,14,13,1,7,17,44,0,Matches,ENG-EPL,21-22
254147d4,126,Moussa Djenepo,MLI,MF,Southampton,23,1998,5.1,9,3,3,5,1,3,11,27.3,8,6,1,5,2,11,6,1,Matches,ENG-EPL,21-22
e814e1cf,127,Lewis Dobbin,ENG,"FW,MF",Everton,18,2003,0.4,2,1,0,1,1,1,2,50.0,1,0,0,0,0,2,0,0,Matches,ENG-EPL,21-22
d557d734,128,Matt Doherty,IRL,DF,Tottenham,29,1992,9.7,18,12,5,11,2,8,14,57.1,6,11,2,9,13,31,20,0,Matches,ENG-EPL,21-22
02b29014,129,Abdoulaye Doucouré,MLI,MF,Everton,28,1993,28.2,75,43,30,37,8,32,71,45.1,39,33,8,25,28,103,32,0,Matches,ENG-EPL,21-22
2f6ec02a,130,Kieran Dowell,ENG,"FW,MF",Norwich City,23,1997,10.1,18,7,8,7,3,9,32,28.1,23,10,1,9,7,25,4,0,Matches,ENG-EPL,21-22
e0d1510a,131,Cody Drameh,ENG,"DF,MF",Leeds United,19,2001,1.4,4,2,3,1,0,1,3,33.3,2,0,0,0,1,5,4,0,Matches,ENG-EPL,21-22
3a949a25,132,Martin Dúbravka,SVK,GK,Newcastle Utd,32,1989,26.0,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,8,2,Matches,ENG-EPL,21-22
7314bba4,133,Shane Duffy,IRL,DF,Brighton,29,1992,16.0,15,12,12,3,0,8,14,57.1,6,24,18,6,16,31,76,1,Matches,ENG-EPL,21-22
3fe6bd8c,134,Paul Dummett,WAL,DF,Newcastle Utd,29,1991,2.2,7,3,3,4,0,5,8,62.5,3,5,0,5,3,10,5,0,Matches,ENG-EPL,21-22
282f75f3,135,Lewis Dunk,ENG,DF,Brighton,29,1991,28.6,10,8,5,5,0,5,11,45.5,6,32,28,4,27,37,113,3,Matches,ENG-EPL,21-22
3bb7b8b4,136,Ederson,BRA,GK,Manchester City,27,1993,37.0,2,1,2,0,0,0,2,0.0,2,0,0,0,0,2,12,0,Matches,ENG-EPL,21-22
0562b7f1,137,Odsonne Édouard,FRA,FW,Crystal Palace,23,1998,17.4,16,10,2,7,7,7,21,33.3,14,20,5,15,0,16,18,0,Matches,ENG-EPL,21-22
d313e8ff,138,CJ Egan-Riley,ENG,DF,Manchester City,18,2003,0.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches,ENG-EPL,21-22
2fba6108,139,Anthony Elanga,SWE,FW,Manchester Utd,19,2002,13.5,26,20,12,12,2,15,29,51.7,14,17,1,16,9,35,7,0,Matches,ENG-EPL,21-22
