id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,league,season
66b76d44,71,Emi Buendía,ARG,"MF,FW",Aston Villa,25,1996,26.8,90,3.36,72,2,8,3,4,1,10,0.37,7,0,1,2,0,0,Matches,ENG-EPL,22-23
bfc3b3a0,72,Hugo Bueno,ESP,DF,Wolves,19,2002,14.6,30,2.06,22,7,0,1,0,0,1,0.07,1,0,0,0,0,0,Matches,ENG-EPL,22-23
468a7a91,73,Facundo Buonanotte,ARG,"FW,MF",Brighton,17,2004,6.3,14,2.23,12,0,2,0,0,0,1,0.16,1,0,0,0,0,0,Matches,ENG-EPL,22-23
b2d31e83,74,Dan Burn,ENG,DF,Newcastle Utd,30,1992,34.6,40,1.16,35,2,0,3,0,0,3,0.09,3,0,0,0,0,0,Matches,ENG-EPL,22-23
85322440,75,Cafú,POR,MF,Nott'ham Forest,29,1993,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,ENG-EPL,22-23
16264a81,76,Moisés Caicedo,ECU,MF,Brighton,20,2001,34.9,88,2.52,81,0,2,3,1,1,5,0.14,5,0,0,0,0,0,Matches,ENG-EPL,22-23
a8748947,77,Tom Cairney,SCO,MF,Fulham,31,1991,11.0,45,4.1,35,4,1,2,2,1,3,0.27,3,0,0,0,0,0,Matches,ENG-EPL,22-23
94f8d10c,78,Duje Ćaleta-Car,CRO,DF,Southampton,25,1996,10.5,6,0.57,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,ENG-EPL,22-23
59e6e5bf,79,Dominic Calvert-Lewin,ENG,FW,Everton,25,1997,12.9,24,1.85,16,0,5,1,2,0,4,0.31,2,0,1,0,1,0,Matches,ENG-EPL,22-23
6f711f67,80,Chem Campbell,WAL,"FW,MF",Wolves,19,2002,0.8,2,2.43,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches,ENG-EPL,22-23
