id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 24_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,league,season
c75b6a02,57,Andrea Bertolacci,ITA,MF,Sampdoria,28,1991,5.9,3,0,0,8,13,0,3,2,4,1,0,0,32,8,5,61.5,Matches,ITA-SERIA_A,19-20
5710a281,58,Lucas Biglia,ARG,MF,Milan,33,1986,7.6,4,0,0,22,7,0,3,7,7,0,1,0,44,12,7,63.2,Matches,ITA-SERIA_A,19-20
9e1577aa,59,Cristiano Biraghi,ITA,DF,Inter,26,1992,17.5,3,0,0,22,22,3,138,13,6,0,0,0,66,4,14,22.2,Matches,ITA-SERIA_A,19-20
64cd167d,60,Davide Biraschi,ITA,DF,Genoa,25,1994,21.9,3,1,0,29,25,0,39,34,17,1,1,1,113,37,18,67.3,Matches,ITA-SERIA_A,19-20
455a2b79,61,Valter Birsa,SVN,"MF,FW",Cagliari,32,1986,4.8,1,0,0,6,2,0,23,4,6,0,0,0,32,2,1,66.7,Matches,ITA-SERIA_A,19-20
16569fef,62,Dimitri Bisoli,ITA,MF,Brescia,25,1994,23.9,6,0,0,38,46,6,64,25,35,0,0,0,143,28,37,43.1,Matches,ITA-SERIA_A,19-20
da13074e,63,Birkir Bjarnason,ISL,"MF,FW",Brescia,31,1988,8.9,1,0,0,17,18,0,14,5,3,0,0,0,43,7,4,63.6,Matches,ITA-SERIA_A,19-20
f4ec4fd0,64,Kevin-Prince Boateng,GHA,FW,Fiorentina,32,1987,6.7,2,0,0,12,21,4,4,1,1,0,0,0,11,20,34,37.0,Matches,ITA-SERIA_A,19-20
faa1b07d,65,Salvatore Bocchetti,ITA,DF,Hellas Verona,32,1986,3.4,2,0,0,5,2,1,0,17,3,0,0,0,14,16,3,84.2,Matches,ITA-SERIA_A,19-20
fe012aca,66,Jeremie Boga,CIV,FW,Sassuolo,22,1997,27.9,0,0,0,14,56,10,24,3,7,1,2,0,95,5,15,25.0,Matches,ITA-SERIA_A,19-20
d995ed27,67,Giacomo Bonaventura,ITA,"MF,FW",Milan,29,1989,14.9,2,0,0,20,33,4,28,7,9,1,0,0,62,10,15,40.0,Matches,ITA-SERIA_A,19-20
bf57eaab,68,Federico Bonazzoli,ITA,FW,Sampdoria,22,1997,8.3,1,0,0,17,35,3,10,5,5,0,0,0,40,3,13,18.8,Matches,ITA-SERIA_A,19-20
fb77bfef,69,Kevin Bonifazi,ITA,DF,Torino,23,1996,2.7,0,0,0,4,1,0,0,5,8,0,0,0,19,6,4,60.0,Matches,ITA-SERIA_A,19-20
fb77bfef,70,Kevin Bonifazi,ITA,DF,SPAL,23,1996,13.2,2,1,0,12,2,1,4,35,9,0,2,0,100,30,6,83.3,Matches,ITA-SERIA_A,19-20
f8f0744b,71,Federico Bonini,ITA,DF,Bologna,17,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,ITA-SERIA_A,19-20
52ec54d0,72,Leonardo Bonucci,ITA,DF,Juventus,32,1987,34.2,10,0,0,26,18,0,6,31,17,0,3,0,133,61,50,55.0,Matches,ITA-SERIA_A,19-20
ef5b337e,73,Fabio Borini,ITA,"MF,FW",Hellas Verona,28,1991,9.0,1,1,0,11,26,4,18,13,1,1,0,0,48,13,19,40.6,Matches,ITA-SERIA_A,19-20
ef5b337e,74,Fabio Borini,ITA,MF,Milan,28,1991,0.8,1,0,0,1,2,0,0,0,2,0,0,0,4,0,0,,Matches,ITA-SERIA_A,19-20
0d077b88,75,Mehdi Bourabia,MAR,MF,Sassuolo,27,1991,10.3,7,1,1,27,16,0,7,22,9,0,0,2,81,12,15,44.4,Matches,ITA-SERIA_A,19-20
d4890c25,76,Federico Brancolini,ITA,GK,Fiorentina,18,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,ITA-SERIA_A,19-20
5fd5ed86,77,Gleison Bremer,BRA,DF,Torino,22,1997,25.2,6,2,2,33,20,2,1,74,36,0,3,0,174,75,64,54.0,Matches,ITA-SERIA_A,19-20
dfd56738,78,Marco Brescianini,ITA,MF,Milan,19,2000,0.3,0,0,0,1,0,0,0,2,1,0,0,0,3,1,0,100.0,Matches,ITA-SERIA_A,19-20
33b8d077,79,Marcelo Brozović,CRO,MF,Inter,26,1992,30.0,9,0,0,44,20,1,49,46,35,0,0,0,188,21,21,50.0,Matches,ITA-SERIA_A,19-20
e947ee4a,80,Gastón Brugman,URU,MF,Parma,26,1992,16.2,5,0,0,27,19,0,12,27,24,0,0,0,141,8,4,66.7,Matches,ITA-SERIA_A,19-20
e40d028b,81,Gianluigi Buffon,ITA,GK,Juventus,41,1978,9.0,0,0,0,0,1,0,0,0,0,0,0,0,14,1,0,100.0,Matches,ITA-SERIA_A,19-20
00b0bb87,82,Fabrizio Cacciatore,ITA,DF,Cagliari,32,1986,12.8,1,1,0,8,8,1,36,16,4,0,1,0,61,11,9,55.0,Matches,ITA-SERIA_A,19-20
e94d79e3,83,Martín Cáceres,URU,DF,Fiorentina,32,1987,26.2,10,1,1,23,16,0,12,31,31,0,1,0,137,25,26,49.0,Matches,ITA-SERIA_A,19-20
93b891d1,84,Felipe Caicedo,ECU,FW,Lazio,30,1988,15.6,7,0,0,27,20,8,0,4,10,3,0,0,37,27,53,33.8,Matches,ITA-SERIA_A,19-20
2146785a,85,Davide Calabria,ITA,DF,Milan,22,1996,18.0,4,2,1,15,22,1,48,21,33,0,0,0,93,11,10,52.4,Matches,ITA-SERIA_A,19-20
aded8e6f,86,Riccardo Calafiori,ITA,DF,Roma,17,2002,0.7,0,0,0,1,1,0,0,2,0,1,0,0,1,0,0,,Matches,ITA-SERIA_A,19-20
ac7e640b,87,Mattia Caldara,ITA,DF,Atalanta,25,1994,10.7,1,0,0,20,7,1,2,30,11,0,0,0,80,31,16,66.0,Matches,ITA-SERIA_A,19-20
652811aa,88,Marco Calderoni,ITA,DF,Lecce,30,1989,22.9,7,0,0,29,37,2,100,37,25,0,1,0,118,10,15,40.0,Matches,ITA-SERIA_A,19-20
cd0fa27b,89,Hakan Çalhanoğlu,TUR,"MF,FW",Milan,25,1994,30.0,6,0,0,38,27,1,151,26,21,0,1,0,156,27,44,38.0,Matches,ITA-SERIA_A,19-20
78841da9,90,José Callejón,ESP,"FW,MF",Napoli,32,1987,24.1,2,0,0,13,43,10,170,10,9,0,1,0,88,9,15,37.5,Matches,ITA-SERIA_A,19-20
a65ce836,91,Emre Can,GER,MF,Juventus,25,1994,3.2,2,0,0,10,5,0,3,2,7,0,0,0,21,2,0,100.0,Matches,ITA-SERIA_A,19-20
356c9002,92,Antonio Candreva,ITA,DF,Inter,32,1987,22.1,5,0,0,15,20,13,178,14,6,1,0,0,108,5,4,55.6,Matches,ITA-SERIA_A,19-20
