id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,league,season
33b8d077,82,Marcelo Brozović,CRO,MF,Inter,27,1992,4.1,391,12,68,245,80,3,391,1,1,100.0,0,0.0,213,962,402,4,6,2,7,3,284,6,Matches,UCL,20-21
5caa62a7,83,Bruma,POR,"FW,MF",Olympiacos,25,1994,0.7,48,0,3,30,16,3,48,3,2,66.7,1,33.3,37,215,122,5,1,2,0,3,37,9,Matches,UCL,20-21
e40d028b,84,Gianluigi Buffon,ITA,GK,Juventus,42,1978,1.0,29,27,29,0,0,0,29,0,0,,0,,9,43,37,0,0,0,0,0,7,0,Matches,UCL,20-21
9d12e142,85,Roman Bürki,SUI,GK,Dortmund,29,1990,4.0,145,125,145,0,0,0,145,0,0,,0,,69,273,99,0,0,0,0,0,82,0,Matches,UCL,20-21
eb2b33aa,86,Heorhiy Bushchan,UKR,GK,Dynamo Kyiv,26,1994,4.0,136,124,136,0,0,0,136,0,0,,0,,70,345,188,0,0,0,0,0,64,0,Matches,UCL,20-21
5ab0ea87,87,Sergio Busquets,ESP,MF,Barcelona,32,1988,3.7,381,7,45,242,95,4,381,1,1,100.0,0,0.0,226,715,339,1,8,0,1,3,310,1,Matches,UCL,20-21
b8814868,88,Vitaliy Buyalskyi,UKR,"FW,MF",Dynamo Kyiv,27,1993,3.8,132,3,25,67,43,15,132,2,1,50.0,1,50.0,69,350,173,5,3,2,9,0,81,11,Matches,UCL,20-21
148e136f,89,Rémy Cabella,FRA,"MF,FW",Krasnodar,30,1990,2.8,168,0,13,96,59,10,168,15,10,66.7,5,33.3,117,684,325,12,7,3,7,3,120,12,Matches,UCL,20-21
038aa94a,90,Júnior Caiçara,BRA,DF,Başakşehir,31,1989,0.3,12,5,7,2,3,0,12,0,0,,0,,6,36,26,1,1,0,0,0,6,1,Matches,UCL,20-21
93b891d1,91,Felipe Caicedo,ECU,FW,Lazio,31,1988,1.5,59,0,8,23,29,6,59,1,1,100.0,0,0.0,30,167,87,1,1,0,2,0,47,9,Matches,UCL,20-21
