id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 33_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches,league,season
0743d0ec,46,Berke Özer,TUR,GK,Fenerbahçe,21,2000,3.0,2,0,0,0,0,2.5,0.28,0.5,0.18,13,51,25.5,68,18,42.6,37.4,36,61.1,45.7,68,3,4.4,3,1.0,12.0,Matches,UEL,21-22
be855308,47,Sergio Padt,NED,GK,Ludogorets,31,1990,2.0,1,0,0,0,0,3.6,0.36,2.6,1.31,14,40,35.0,73,9,37.0,34.7,22,59.1,41.9,36,2,5.6,0,0.0,8.0,Matches,UEL,21-22
cc1c5035,48,Iñaki Peña,ESP,GK,Galatasaray,22,1999,2.0,2,0,0,0,0,2.9,0.48,0.9,0.45,21,41,51.2,73,9,41.1,34.8,19,57.9,40.2,40,4,10.0,0,0.0,8.0,Matches,UEL,21-22
d6f6ce93,49,Julian Pollersbeck,GER,GK,Lyon,26,1994,2.0,4,0,0,1,0,1.7,0.21,-2.3,-1.17,2,3,66.7,55,14,5.5,20.5,9,0.0,16.6,19,1,5.3,7,3.5,26.6,Matches,UEL,21-22
d1a08b5a,50,Zoran Popović,SRB,GK,Red Star,33,1988,1.0,0,0,0,0,0,0.1,0.05,0.1,0.05,4,20,20.0,25,1,64.0,45.2,4,100.0,64.5,10,1,10.0,1,1.0,10.6,Matches,UEL,21-22
99047b00,51,Elías Rafn Ólafsson,ISL,GK,Midtjylland,21,2000,3.0,5,1,0,0,0,4.8,0.24,-0.2,-0.08,14,40,35.0,101,19,30.7,33.3,19,47.4,39.7,26,2,7.7,12,4.0,18.6,Matches,UEL,21-22
374ee424,52,Álex Remiro,ESP,GK,Real Sociedad,26,1995,5.0,4,0,0,1,0,4.3,0.31,0.3,0.06,36,72,50.0,148,18,29.7,33.2,41,68.3,47.9,55,2,3.6,2,0.4,9.5,Matches,UEL,21-22
4535e4bb,53,Mathew Ryan,AUS,GK,Real Sociedad,29,1992,3.0,7,2,0,0,0,8.0,0.25,1.0,0.34,15,29,51.7,67,15,26.9,31.2,20,55.0,42.9,37,0,0.0,5,1.67,18.9,Matches,UEL,21-22
fd834d1d,54,Tiago Sá,POR,GK,Braga,26,1995,1.0,3,1,0,0,0,3.6,0.44,0.6,0.61,6,23,26.1,44,8,47.7,38.9,4,50.0,35.0,4,1,25.0,3,3.0,20.2,Matches,UEL,21-22
53af52f3,55,Kasper Schmeichel,DEN,GK,Leicester City,34,1986,6.0,11,0,0,0,0,9.4,0.34,-1.6,-0.27,25,50,50.0,131,22,29.8,31.9,37,29.7,34.3,60,3,5.0,2,0.33,13.1,Matches,UEL,21-22
972d595a,56,Aleksandr Selikhov,RUS,GK,Spartak Moscow,27,1994,3.0,2,0,0,1,0,5.4,0.26,3.4,1.12,21,57,36.8,58,8,72.4,48.6,28,53.6,45.1,65,4,6.2,0,0.0,4.3,Matches,UEL,21-22
b69dfb42,57,Jörg Siebenhandl,AUT,GK,Sturm Graz,31,1990,6.0,10,1,0,4,0,10.6,0.37,0.6,0.1,24,83,28.9,131,26,43.5,37.0,55,47.3,41.6,104,2,1.9,7,1.17,17.4,Matches,UEL,21-22
ea83bfa6,58,Rui Silva,POR,GK,Betis,27,1994,6.5,11,1,0,1,1,9.8,0.35,-0.2,-0.04,18,90,20.0,171,28,39.8,35.4,50,44.0,38.0,87,5,5.7,5,0.8,15.0,Matches,UEL,21-22
339fe0e8,59,Thomas Strakosha,ALB,GK,Lazio,26,1995,8.0,7,2,0,0,1,7.4,0.22,1.4,0.17,20,49,40.8,170,25,25.9,26.8,64,7.8,22.5,75,0,0.0,3,0.38,15.0,Matches,UEL,21-22
6f51e382,60,Marc-André ter Stegen,GER,GK,Barcelona,29,1992,6.0,8,2,0,2,0,6.4,0.21,-1.6,-0.26,12,38,31.6,199,38,17.1,25.9,22,18.2,21.5,39,4,10.3,10,1.67,20.2,Matches,UEL,21-22
ce17b5eb,61,Kevin Trapp,GER,GK,Eint Frankfurt,31,1990,13.7,13,2,0,1,0,17.0,0.31,4.0,0.31,52,194,26.8,343,59,41.1,36.1,93,57.0,47.5,174,15,8.6,17,1.31,14.2,Matches,UEL,21-22
7b456af7,62,Tomáš Vaclík,CZE,GK,Olympiacos,32,1989,8.0,12,1,0,4,0,10.6,0.32,-1.4,-0.18,42,128,32.8,213,31,39.0,33.9,77,58.4,43.6,125,8,6.4,5,0.63,11.2,Matches,UEL,21-22
f9e0c603,63,Maarten Vandevoordt,BEL,GK,Genk,19,2002,6.0,10,2,0,1,0,8.0,0.22,-2.0,-0.34,29,69,42.0,199,34,25.1,28.9,40,47.5,41.3,62,2,3.2,14,2.33,19.8,Matches,UEL,21-22
