id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 23_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,league,season
0caa2fd4,67,Johan Bakayoko,BEL,FW,PSV Eindhoven,19,2003,2.7,90,87,3,0,0,0,7,2,0,0,0,0,74,0,2,Matches,UEL,22-23
a8567629,68,Mitchel Bakker,NED,"DF,MF",Leverkusen,22,2000,5.7,319,269,49,3,0,0,21,46,0,0,0,0,257,1,7,Matches,UEL,22-23
5ccc9672,69,Alejandro Balde,ESP,DF,Barcelona,18,2003,1.3,59,50,9,1,0,1,4,8,0,0,0,0,43,0,2,Matches,UEL,22-23
be47b750,70,Simon Banza,COD,FW,Braga,25,1996,2.0,38,34,4,0,0,0,1,0,0,0,0,0,24,0,0,Matches,UEL,22-23
cac2537b,71,Enis Bardhi,MKD,"MF,FW",Trabzonspor,27,1995,3.6,121,113,7,2,0,2,4,0,4,0,2,0,100,1,3,Matches,UEL,22-23
3098c0df,72,Brandon Barker,ENG,"FW,MF",AC Omonia,25,1996,2.1,53,51,2,0,0,0,3,1,0,0,0,0,35,0,4,Matches,UEL,22-23
6caffe81,73,Enzo Barrenechea,ARG,MF,Juventus,21,2001,0.1,5,4,0,0,0,0,0,0,0,0,0,0,3,1,0,Matches,UEL,22-23
200e89e1,74,Ander Barrenetxea,ESP,MF,Real Sociedad,20,2001,0.1,6,6,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches,UEL,22-23
b742cc0d,75,Marc Bartra,ESP,DF,Trabzonspor,31,1991,6.0,439,424,14,8,1,8,2,6,0,0,0,0,379,1,4,Matches,UEL,22-23
80556f08,76,Toma Bašić,CRO,MF,Lazio,25,1996,2.2,91,87,4,0,0,0,4,0,1,1,0,0,72,0,2,Matches,UEL,22-23
a36524bf,77,Calvin Bassey,NGA,DF,Ajax,22,1999,2.0,215,209,5,1,0,1,1,3,0,0,0,0,194,1,1,Matches,UEL,22-23
2973d8ff,78,Michy Batshuayi,BEL,FW,Fenerbahçe,28,1993,3.7,76,72,3,0,1,0,1,0,0,0,0,0,51,1,6,Matches,UEL,22-23
072e68ed,79,Altay Bayındır,TUR,GK,Fenerbahçe,24,1998,8.0,227,163,61,26,0,2,0,0,0,0,0,0,161,3,0,Matches,UEL,22-23
a74ea18d,80,Toral Bayramov,AZE,DF,Qarabağ,21,2001,2.6,131,96,34,0,0,0,4,34,0,0,0,0,95,1,4,Matches,UEL,22-23
8eb55dbb,81,Sheraldo Becker,SUR,FW,Union Berlin,27,1995,9.5,213,204,7,2,2,3,44,1,0,0,0,0,122,2,11,Matches,UEL,22-23
50dc94ce,82,Donny van de Beek,NED,MF,Manchester Utd,25,1997,0.8,25,24,1,0,0,0,1,0,0,0,0,0,19,0,1,Matches,UEL,22-23
30ae134d,83,Kevin Behrens,GER,FW,Union Berlin,31,1991,3.8,106,104,1,0,1,0,3,0,0,0,0,0,64,1,2,Matches,UEL,22-23
71115017,84,Felix Beijmo,SWE,DF,Malmö,24,1998,5.6,406,326,79,13,2,6,9,66,0,0,0,0,316,1,15,Matches,UEL,22-23
bee0bab1,85,Karim Bellarabi,GER,FW,Leverkusen,32,1990,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches,UEL,22-23
f874dd44,86,Héctor Bellerín,ESP,"DF,MF",Sporting CP,27,1995,0.9,71,59,12,2,0,0,4,10,0,0,0,0,59,0,1,Matches,UEL,22-23
c678ddd7,87,Jeanuël Belocian,FRA,DF,Rennes,17,2005,3.3,221,216,5,5,0,1,0,0,0,0,0,0,199,0,1,Matches,UEL,22-23
d705ba44,88,Andrea Belotti,ITA,FW,Roma,28,1993,8.6,167,164,3,0,0,1,5,0,0,0,0,0,111,0,11,Matches,UEL,22-23
3bd65247,89,Eliesse Ben Seghir,MAR,FW,Monaco,17,2005,1.4,63,60,3,0,0,0,2,1,0,0,0,0,50,0,3,Matches,UEL,22-23
942b4f90,90,Wissam Ben Yedder,FRA,FW,Monaco,31,1990,5.8,152,136,14,0,3,1,4,0,0,0,0,0,111,2,6,Matches,UEL,22-23
8a2248b4,91,Walter Benítez,ARG,GK,PSV Eindhoven,29,1993,7.0,197,127,70,12,0,1,0,0,0,0,0,0,127,0,0,Matches,UEL,22-23
e4114f5d,92,Patrick Berg,NOR,MF,Bodø/Glimt,24,1997,5.0,276,250,26,10,0,2,18,0,16,5,11,0,230,0,3,Matches,UEL,22-23
713c144a,93,Steven Berghuis,NED,"MF,FW",Ajax,30,1991,2.0,141,137,4,1,0,4,11,1,2,2,0,0,104,0,5,Matches,UEL,22-23
a29b1131,94,Steven Bergwijn,NED,"FW,MF",Ajax,24,1997,1.7,74,68,5,1,0,0,5,3,1,0,0,0,61,1,0,Matches,UEL,22-23
17370b95,95,Bernardo,BRA,DF,RB Salzburg,27,1995,1.0,69,65,4,3,0,0,1,0,0,0,0,0,49,0,2,Matches,UEL,22-23
7ca9f0f0,96,Muhamed Bešić,BIH,MF,Ferencváros,29,1992,3.6,157,148,8,8,1,5,3,0,0,0,0,0,125,1,2,Matches,UEL,22-23
11c0fa9d,97,Artem Besyedin,UKR,FW,Dynamo Kyiv,26,1996,2.8,58,55,3,0,0,1,0,0,0,0,0,0,37,0,4,Matches,UEL,22-23
a0b730dc,98,Roman Bezus,UKR,MF,AC Omonia,31,1990,2.2,102,98,2,2,3,2,1,0,0,0,0,0,75,2,1,Matches,UEL,22-23
1c59240b,99,Pep Biel,ESP,"MF,FW",Olympiacos,25,1996,4.4,126,109,17,8,1,1,16,0,9,8,1,0,96,0,1,Matches,UEL,22-23
53d93280,100,Justin Bijlow,NED,GK,Feyenoord,24,1998,8.3,336,258,76,10,0,0,0,0,0,0,0,0,264,2,0,Matches,UEL,22-23
4c6e2ab5,101,Emmanuel van de Blaak,NED,DF,PSV Eindhoven,17,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,UEL,22-23
6191093d,102,Ludovic Blas,FRA,"MF,FW",Nantes,24,1997,7.5,283,249,32,9,2,3,28,4,10,7,2,0,217,2,6,Matches,UEL,22-23
5b479568,103,Myron Boadu,NED,"FW,MF",Monaco,21,2001,1.3,32,28,4,0,0,0,1,1,0,0,0,0,25,0,0,Matches,UEL,22-23
9c2b4382,104,Franck Boli,CIV,FW,Ferencváros,28,1993,1.2,23,21,2,0,1,0,1,0,0,0,0,0,17,0,2,Matches,UEL,22-23
7713c72a,105,Valerii Bondar,UKR,DF,Shakhtar,23,1999,3.3,214,209,3,3,0,2,0,0,0,0,0,0,201,2,0,Matches,UEL,22-23
415568b5,106,Artem Bondarenko,UKR,MF,Shakhtar,21,2000,3.9,183,175,8,6,0,1,1,1,1,1,0,0,162,0,2,Matches,UEL,22-23
b146275b,107,Victor Boniface,NGA,FW,Union SG,21,2000,8.6,184,168,15,0,2,2,8,5,0,0,0,0,124,1,7,Matches,UEL,22-23
52ec54d0,108,Leonardo Bonucci,ITA,DF,Juventus,35,1987,1.5,112,105,7,4,0,0,0,0,0,0,0,0,102,0,0,Matches,UEL,22-23
f893dba4,109,Nikola Boranijašević,SRB,DF,Zürich,30,1992,5.6,257,191,61,1,0,0,17,60,0,0,0,0,183,5,11,Matches,UEL,22-23
ae05689a,110,Kady Borges,BRA,"MF,FW",Qarabağ,26,1996,5.7,222,167,54,15,3,4,24,4,30,9,2,0,152,1,7,Matches,UEL,22-23
9d7d5334,111,Cristian Borja,COL,DF,Braga,29,1993,0.2,11,11,0,0,0,0,0,0,0,0,0,0,8,0,0,Matches,UEL,22-23
5e8936be,112,Milan Borjan,CAN,GK,Red Star,34,1987,6.0,205,145,60,17,0,1,0,0,0,0,0,0,142,0,0,Matches,UEL,22-23
1443ca7d,113,Aleksandar Borković,AUT,DF,Sturm Graz,23,1999,1.1,48,46,2,2,0,0,1,0,0,0,0,0,41,0,1,Matches,UEL,22-23
2cb77ec6,114,Endre Botka,HUN,DF,Ferencváros,27,1994,5.6,229,159,69,8,0,0,2,55,0,0,0,0,175,1,8,Matches,UEL,22-23
1c07b06e,115,Andreas Bouchalakis,GRE,MF,Olympiacos,29,1993,4.1,226,220,6,6,1,6,0,0,0,0,0,0,189,0,1,Matches,UEL,22-23
541127d5,116,Nassim Boujellab,MAR,MF,HJK,23,1999,2.7,77,72,5,2,0,0,5,0,3,1,2,0,51,0,3,Matches,UEL,22-23
f6798fc3,117,Yassine Bounou,MAR,GK,Sevilla,31,1991,6.7,197,135,62,20,0,2,0,0,0,0,0,0,124,0,1,Matches,UEL,22-23
20e73fac,118,Benjamin Bourigeaud,FRA,"MF,FW",Rennes,28,1994,5.7,297,261,36,6,3,1,41,1,28,8,15,0,208,0,12,Matches,UEL,22-23
ae94a6c5,119,Edoardo Bove,ITA,MF,Roma,20,2002,2.8,93,88,5,1,0,0,0,2,0,0,0,0,66,0,3,Matches,UEL,22-23
ea39a081,120,Josh Bowler,ENG,FW,Olympiacos,23,1999,2.0,39,38,1,0,0,0,3,0,1,1,0,0,28,0,3,Matches,UEL,22-23
1e064bfb,121,Denys Boyko,UKR,GK,Dynamo Kyiv,34,1988,2.0,80,55,25,5,0,0,0,0,0,0,0,0,62,0,0,Matches,UEL,22-23
6e2c94ad,122,Umut Bozok,TUR,"FW,MF",Trabzonspor,25,1996,2.6,70,65,5,1,0,1,1,0,0,0,0,0,51,0,3,Matches,UEL,22-23
c1949191,123,Jarrad Branthwaite,ENG,DF,PSV Eindhoven,20,2002,2.9,144,143,1,0,1,0,0,0,0,0,0,0,120,0,0,Matches,UEL,22-23
10072610,124,Claudio Bravo,CHI,GK,Betis,39,1983,6.0,178,117,60,26,0,0,0,0,0,0,0,0,103,1,0,Matches,UEL,22-23
6115fddd,125,Yanick Brecher,SUI,GK,Zürich,29,1993,6.0,255,184,70,11,0,0,0,0,0,0,0,0,186,1,1,Matches,UEL,22-23
5fd5ed86,126,Gleison Bremer,BRA,DF,Juventus,25,1997,7.1,380,351,29,12,0,1,1,0,0,0,0,0,340,0,1,Matches,UEL,22-23
4c184730,127,Brian Brobbey,NED,FW,Ajax,20,2002,0.8,9,8,0,0,0,0,0,0,0,0,0,0,5,1,0,Matches,UEL,22-23
582beb9d,128,David Browne,PNG,DF,HJK,26,1995,5.5,188,162,26,0,0,0,9,26,0,0,0,0,144,0,10,Matches,UEL,22-23
eab85789,129,Osman Bukari,GHA,"MF,FW",Red Star,23,1998,3.9,116,110,4,1,1,0,15,2,0,0,0,0,78,2,9,Matches,UEL,22-23
e0b5ac38,130,Ezequiel Bullaude,ARG,"MF,DF",Feyenoord,21,2000,0.8,29,28,1,0,0,0,0,1,0,0,0,0,26,0,0,Matches,UEL,22-23
44f050bc,131,Mykyta Burda,UKR,DF,Dynamo Kyiv,27,1995,1.0,27,24,3,3,0,0,0,0,0,0,0,0,18,0,2,Matches,UEL,22-23
f8766ef9,132,Christian Burgess,ENG,DF,Union SG,30,1991,9.5,532,506,25,16,0,2,0,2,0,0,0,0,462,1,0,Matches,UEL,22-23
eb2b33aa,133,Heorhiy Bushchan,UKR,GK,Dynamo Kyiv,28,1994,2.0,82,61,21,7,0,0,0,0,0,0,0,0,47,0,0,Matches,UEL,22-23
5ab0ea87,134,Sergio Busquets,ESP,MF,Barcelona,34,1988,1.0,51,49,2,1,0,0,1,1,0,0,0,0,40,0,1,Matches,UEL,22-23
8e456005,135,Mohamed Buya Turay,SLE,"FW,MF",Malmö,27,1995,2.4,52,49,3,1,0,0,5,1,0,0,0,0,31,0,2,Matches,UEL,22-23
b8814868,136,Vitaliy Buyalskyi,UKR,"FW,MF",Dynamo Kyiv,29,1993,5.6,118,106,11,0,1,0,4,0,0,0,0,0,89,1,4,Matches,UEL,22-23
f63a8347,137,Uğurcan Çakır,TUR,GK,Trabzonspor,26,1996,5.0,200,128,71,21,0,0,0,0,0,0,0,0,114,1,0,Matches,UEL,22-23
13ea2544,138,Mohamed Camara,GUI,MF,Roma,25,1997,2.4,144,142,2,2,0,2,5,0,0,0,0,0,123,0,2,Matches,UEL,22-23
489e80e3,139,Mohamed Camara,MLI,MF,Monaco,22,2000,7.2,340,328,10,10,0,8,1,0,0,0,0,0,290,2,6,Matches,UEL,22-23
a6de370d,140,Sergio Canales,ESP,"MF,FW",Betis,31,1991,5.4,419,385,32,11,3,9,17,7,11,2,7,0,354,2,7,Matches,UEL,22-23
b6a1cdf9,141,Matteo Cancellieri,ITA,FW,Lazio,20,2002,2.5,53,49,4,1,0,0,2,0,0,0,0,0,40,0,2,Matches,UEL,22-23
6885cc44,142,Nicolás Capaldo,ARG,MF,RB Salzburg,24,1997,1.9,50,48,2,1,0,0,1,1,0,0,0,0,36,0,1,Matches,UEL,22-23
dee86451,143,William Carvalho,POR,MF,Betis,30,1992,3.7,273,265,7,6,1,1,1,1,0,0,0,0,236,1,5,Matches,UEL,22-23
3f5f38fb,144,Nicolò Casale,ITA,DF,Lazio,24,1998,1.1,85,82,3,2,0,1,0,1,0,0,0,0,78,0,0,Matches,UEL,22-23
4d224fe8,145,Casemiro,BRA,MF,Manchester Utd,30,1992,11.0,727,707,17,14,6,9,3,3,0,0,0,0,572,3,16,Matches,UEL,22-23
f54d2149,146,Moreto Cassamã,GNB,MF,AC Omonia,24,1998,3.7,172,167,5,5,1,3,0,0,0,0,0,0,142,0,1,Matches,UEL,22-23
e0f3a1f6,147,Jean-Charles Castelletto,CMR,DF,Nantes,27,1995,6.1,262,251,11,9,0,1,7,2,0,0,0,0,231,0,2,Matches,UEL,22-23
37d0048f,148,André Castro,POR,MF,Braga,34,1988,2.9,148,143,4,3,0,1,0,1,0,0,0,0,124,1,4,Matches,UEL,22-23
ba3d3bea,149,Danilo Cataldi,ITA,MF,Lazio,27,1994,4.1,301,286,13,9,1,3,3,0,4,0,3,0,267,2,2,Matches,UEL,22-23
350ad032,150,Joseph Ceesay,SWE,"MF,DF",Malmö,24,1998,3.1,84,77,7,0,0,1,5,7,0,0,0,0,60,0,3,Matches,UEL,22-23
2edbd8d5,151,Dumitru Celeadnic,MDA,GK,Sheriff Tiraspol,30,1992,1.0,30,9,20,5,0,0,0,0,0,0,0,0,9,1,0,Matches,UEL,22-23
31a62dc7,152,Zeki Çelik,TUR,DF,Roma,25,1997,4.7,175,122,53,2,0,0,5,51,0,0,0,0,120,0,6,Matches,UEL,22-23
